Time,Electricity Price,Battery Power,ESS Charge,ESS Discharge,"E[0,0]","E[0,1]","E[0,2]","E[1,0]","E[1,1]","E[1,2]","E[2,0]","E[2,1]","E[2,2]"
0,0.12359999999999999,0.0,1.0,0.0,0.0,223.74,111.87,0.0,0.0,0.0,0.0,0.0,0.0
1,0.13161,223.74,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,111.87,0.0,0.0,0.0
2,0.13158499999999998,111.87,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,111.87,0.0,0.0,0.0
3,0.123545,0.0,-0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
4,0.12290999999999999,0.0,1.0,-0.0,0.0,300.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
5,0.129925,300.0,-0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
6,0.15881,300.0,-0.0,1.0,0.0,0.0,0.0,188.13,0.0,111.87,0.0,0.0,0.0
7,0.13613,0.0,-0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
8,0.13597,0.0,0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
9,0.13585,0.0,1.0,-0.0,0.0,300.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
10,0.13988499999999998,300.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,111.87,0.0,0.0,0.0
11,0.13767500000000002,188.13,1.0,-0.0,0.0,111.87,111.87,0.0,0.0,0.0,0.0,0.0,0.0
12,0.15869,300.0,-0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
13,0.227525,300.0,-0.0,1.0,0.0,0.0,0.0,188.13,0.0,111.87,0.0,0.0,0.0
14,0.13748500000000002,0.0,1.0,-0.0,0.0,300.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
15,0.331,300.0,-0.0,0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
16,0.380745,300.0,-0.0,1.0,0.0,0.0,0.0,188.13,0.0,111.87,0.0,0.0,0.0
17,0.28352499999999997,0.0,-0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
18,0.20395999999999997,0.0,0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
19,0.183095,0.0,1.0,-0.0,0.0,300.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
20,0.5284300000000001,300.0,-0.0,1.0,0.0,0.0,0.0,188.13,0.0,111.87,0.0,0.0,0.0
21,0.31245500000000004,0.0,-0.0,0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
22,0.20894,0.0,-0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
23,0.14255500000000002,0.0,0.0,-0.0,0.0,0.0,111.87,0.0,0.0,0.0,0.0,0.0,0.0
